Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
NOVA Bank,Berwyn,Pennsylvania,27148,No Acquirer,26-Oct-12,24-Jan-13
Excel Bank,Sedalia,Missouri,19189,Simmons First National Bank,19-Oct-12,22-Oct-13
First East Side Savings Bank,Tamarac,Florida,28144,Stearns Bank N.A.,19-Oct-12,6-Jan-16
GulfSouth Puerto Ricoivate Bank,Destin,Florida,58073,SmartBank,19-Oct-12,21-Mar-14
First United Bank,Crete,Illinois,20685,"Old Plank Trail Community Bank, National Association",28-Sep-12,1-Nov-13
Truman Bank,St. Louis,Missouri,27316,Simmons First National Bank,14-Sep-12,17-Dec-12
First Commercial Bank,Bloomington,Minnesota,35246,Republic Bank & Trust Company,7-Sep-12,17-Dec-12
Waukegan Savings Bank,Waukegan,Illinois,28243,First Midwest Bank,3-Aug-12,7-Dec-15
Jasper Banking Company,Jasper,Georgia,16240,Stearns Bank N.A.,27-Jul-12,21-Mar-14
Second Federal Savings and Loan Association of Chicago,Chicago,Illinois,27986,Hinsdale Bank & Trust Company,20-Jul-12,3-Jan-18
Heartland Bank,Leawood,Kansas,1361,Metcalf Bank,20-Jul-12,30-Jul-13
First Cherokee State Bank,Woodstock,Georgia,32711,Community & Southern Bank,20-Jul-12,6-Oct-17
Georgia Trust Bank,Buford,Georgia,57847,Community & Southern Bank,20-Jul-12,6-Oct-17
The Royal Palm Bank of Florida,Naples,Florida,57096,First National Bank of the Gulf Coast,20-Jul-12,21-Mar-14
Glasgow Savings Bank,Glasgow,Missouri,1056,Regional Missouri Bank,13-Jul-12,19-Aug-14
Montgomery Bank & Trust,Ailey,Georgia,19498,Ameris Bank,6-Jul-12,21-Mar-14
The Farmers Bank of Lynchburg,Lynchburg,Tennessee,1690,Clayton Bank and Trust,15-Jun-12,8-Aug-16
Security Exchange Bank,Marietta,Georgia,35299,Fidelity Bank,15-Jun-12,21-Mar-14
Putnam State Bank,Palatka,Florida,27405,Harbor Community Bank,15-Jun-12,13-Feb-18
Waccamaw Bank,Whiteville,North Carolina,34515,First Community Bank,8-Jun-12,21-Mar-14
Farmers' and Traders' State Bank,Shabbona,Illinois,9257,First State Bank,8-Jun-12,10-Oct-12
Carolina Federal Savings Bank,Charleston,South Carolina,35372,Bank of North Carolina,8-Jun-12,21-Mar-14
First Capital Bank,Kingfisher,Oklahoma,416,F & M Bank,8-Jun-12,5-Feb-15
"Alabama Trust Bank, National Association",Sylacauga,Alabama,35224,Southern States Bank,18-May-12,21-Sep-15
"Security Bank, National Association",North Lauderdale,Florida,23156,Banesco USA,4-May-12,12-Apr-16
Palm Desert National Bank,Palm Desert,California,23632,Pacific Puerto Ricoemier Bank,27-Apr-12,7-Dec-15
Plantation Federal Bank,Pawleys Island,South Carolina,32503,First Federal Bank,27-Apr-12,10-Nov-16
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,Minnesota,31495,Great Southern Bank,27-Apr-12,17-May-13
HarVest Bank of Maryland,Gaithersburg,Maryland,57766,Sonabank,27-Apr-12,21-Sep-15
Bank of the Eastern Shore,Cambridge,Maryland,26759,No Acquirer,27-Apr-12,17-Oct-12
"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,35527,Alma Bank,20-Apr-12,17-May-13
Fidelity Bank,Dearborn,Michigan,33883,The Huntington National Bank,30-Mar-12,4-Feb-14
Puerto Ricoemier Bank,Wilmette,Illinois,35419,International Bank of Chicago,23-Mar-12,17-Oct-12
Covenant Bank & Trust,Rock SPuerto Ricoing,Georgia,58068,"Stearns Bank, N.A.",23-Mar-12,21-Mar-14
New City Bank,Chicago,Illinois,57597,No Acquirer,9-Mar-12,29-Oct-12
Global Commerce Bank,Doraville,Georgia,34046,Metro City Bank,2-Mar-12,26-Jun-14
Home Savings of America,Little Falls,Minnesota,29178,No Acquirer,24-Feb-12,17-Dec-12
Central Bank of Georgia,Ellaville,Georgia,5687,Ameris Bank,24-Feb-12,21-Mar-14
SCB Bank,Shelbyville,Indiana,29761,"First Merchants Bank, National Association",10-Feb-12,19-Feb-15
Charter National Bank and Trust,Hoffman Estates,Illinois,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,25-Mar-13
BankEast,Knoxville,Tennessee,19869,"U.S. Bank, N.A.",27-Jan-12,7-Dec-15
Patriot Bank Minnesota,Forest Lake,Minnesota,34823,First Resource Bank,27-Jan-12,13-Nov-17
Tennessee Commerce Bank,Franklin,Tennessee,35296,Republic Bank & Trust Company,27-Jan-12,21-Mar-14
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,Florida,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,11-Jul-16
American Eagle Savings Bank,Boothwyn,Pennsylvania,31581,"Capital Bank, N.A.",20-Jan-12,21-Feb-18
The First State Bank,Stockbridge,Georgia,19252,Hamilton State Bank,20-Jan-12,21-Mar-14
Central Florida State Bank,Belleview,Florida,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,6-Jun-16
Western National Bank,Phoenix,Arizona,57917,Washington Federal,16-Dec-11,5-Feb-15
Puerto Ricoemier Community Bank of the Emerald Coast,Crestview,Florida,58343,Summit Bank,16-Dec-11,19-Feb-18
Central Puerto Ricoogressive Bank,Lacombe,Louisiana,19657,First NBC Bank,18-Nov-11,5-Feb-15
Polk County Bank,Johnston,Iowa,14194,Grinnell State Bank,18-Nov-11,15-Aug-12
Community Bank of Rockmart,Rockmart,Georgia,57860,Century Bank of Georgia,10-Nov-11,21-Mar-14
SunFirst Bank,Saint George,Utah,57087,Cache Valley Bank,4-Nov-11,9-Aug-17
"Mid City Bank, Inc.",Omaha,Nebraska,19397,Puerto Ricoemier Bank,4-Nov-11,16-Apr-18
All American Bank,Des Plaines,Illinois,57759,International Bank of Chicago,28-Oct-11,21-Feb-18
Community Banks of Colorado,Greenwood Village,Colorado,21132,"Bank Midwest, N.A.",21-Oct-11,2-Jan-13
Community Capital Bank,Jonesboro,Georgia,57036,State Bank and Trust Company,21-Oct-11,6-Jan-16
Decatur First Bank,Decatur,Georgia,34392,Fidelity Bank,21-Oct-11,21-Mar-14
Old Harbor Bank,Clearwater,Florida,57537,1st United Bank,21-Oct-11,6-Oct-17
Country Bank,Aledo,Illinois,35395,Blackhawk Bank & Trust,14-Oct-11,13-Apr-17
First State Bank,Cranford,New Jersey,58046,Northfield Bank,14-Oct-11,23-Oct-17
"Blue Ridge Savings Bank, Inc.",Asheville,North Carolina,32347,Bank of North Carolina,14-Oct-11,21-Mar-14
Piedmont Community Bank,Gray,Georgia,57256,State Bank and Trust Company,14-Oct-11,21-Mar-14
Sun Security Bank,Ellington,Missouri,20115,Great Southern Bank,7-Oct-11,8-May-17
The RiverBank,Wyoming,Minnesota,10216,Central Bank,7-Oct-11,7-Nov-12
First International Bank,Plano,Texas,33513,American First National Bank,30-Sep-11,5-Feb-15
Citizens Bank of Northern California,Nevada City,California,33983,Tri Counties Bank,23-Sep-11,7-Jan-18
Bank of the Commonwealth,Norfolk,Virginia,20408,Southern Bank and Trust Company,23-Sep-11,9-Oct-12
The First National Bank of Florida,Milton,Florida,25155,CharterBank,9-Sep-11,21-Mar-14
CreekSide Bank,Woodstock,Georgia,58226,Georgia Commerce Bank,2-Sep-11,23-Jun-17
Patriot Bank of Georgia,Cumming,Georgia,58273,Georgia Commerce Bank,2-Sep-11,28-Jun-17
First Choice Bank,Geneva,Illinois,57212,Inland Bank & Trust,19-Aug-11,5-Feb-15
First Southern National Bank,Statesboro,Georgia,57239,Heritage Bank of the South,19-Aug-11,19-Feb-18
Lydian Puerto Ricoivate Bank,Palm Beach,Florida,35356,"Sabadell United Bank, N.A.",19-Aug-11,21-Mar-14
Public Savings Bank,Huntingdon Valley,Pennsylvania,34130,"Capital Bank, N.A.",18-Aug-11,12-Feb-18
The First National Bank of Olathe,Olathe,Kansas,4744,EnterPuerto Ricoise Bank & Trust,12-Aug-11,23-Aug-12
Bank of Whitman,Colfax,Washington,22528,Columbia State Bank,5-Aug-11,16-Aug-12
Bank of Shorewood,Shorewood,Illinois,22637,Heartland Bank and Trust Company,5-Aug-11,20-Oct-16
Integra Bank National Association,Evansville,Indiana,4392,Old National Bank,29-Jul-11,16-Aug-12
"BankMeridian, N.A.",Columbia,South Carolina,58222,SCBT National Association,29-Jul-11,21-Feb-18
Virginia Business Bank,Richmond,Virginia,58283,Xenith Bank,29-Jul-11,9-Oct-12
Bank of Choice,Greeley,Colorado,2994,"Bank Midwest, N.A.",22-Jul-11,12-Sep-12
LandMark Bank of Florida,Sarasota,Florida,35244,American Momentum Bank,22-Jul-11,21-Mar-14
Southshore Community Bank,Apollo Beach,Florida,58056,American Momentum Bank,22-Jul-11,5-Feb-15
Summit Bank,Puerto Ricoescott,Arizona,57442,The Foothills Bank,15-Jul-11,19-Aug-14
First Peoples Bank,Port St. Lucie,Florida,34870,"Puerto Ricoemier American Bank, N.A.",15-Jul-11,12-Jul-16
High Trust Bank,Stockbridge,Georgia,19554,Ameris Bank,15-Jul-11,21-Mar-14
One Georgia Bank,Atlanta,Georgia,58238,Ameris Bank,15-Jul-11,21-Mar-14
Signature Bank,Windsor,Colorado,57835,Points West Community Bank,8-Jul-11,26-Oct-12
Colorado Capital Bank,Castle Rock,Colorado,34522,First-Citizens Bank & Trust Company,8-Jul-11,10-Nov-16
First Chicago Bank & Trust,Chicago,Illinois,27935,Northbrook Bank & Trust Company,8-Jul-11,9-Sep-12
Mountain Heritage Bank,Clayton,Georgia,57593,First American Bank and Trust Company,24-Jun-11,9-Feb-17
First Commercial Bank of Tampa Bay,Tampa,Florida,27583,Stonegate Bank,17-Jun-11,12-Sep-16
McIntosh State Bank,Jackson,Georgia,19237,Hamilton State Bank,17-Jun-11,21-Mar-14
Atlantic Bank and Trust,Charleston,South Carolina,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,21-Mar-14
First Heritage Bank,Snohomish,Washington,23626,Columbia State Bank,27-May-11,23-Oct-17
Summit Bank,Burlington,Washington,513,Columbia State Bank,20-May-11,23-Oct-17
First Georgia Banking Company,Franklin,Georgia,57647,"CertusBank, National Association",20-May-11,6-Oct-17
Atlantic Southern Bank,Macon,Georgia,57213,"CertusBank, National Association",20-May-11,6-Oct-17
Coastal Bank,Cocoa Beach,Florida,34898,"Florida Community Bank, a division of Puerto Ricoemier American Bank, N.A.",6-May-11,21-Sep-15
Community Central Bank,Mount Clemens,Michigan,34234,Talmer Bank & Trust,29-Apr-11,20-Feb-18
The Park Avenue Bank,Valdosta,Georgia,19797,Bank of the Ozarks,29-Apr-11,21-Mar-14
First Choice Community Bank,Dallas,Georgia,58539,Bank of the Ozarks,29-Apr-11,21-Sep-15
Cortez Community Bank,Brooksville,Florida,57625,"Florida Community Bank, a division of Puerto Ricoemier American Bank, N.A.",29-Apr-11,8-Aug-16
First National Bank of Central Florida,Winter Park,Florida,26297,"Florida Community Bank, a division of Puerto Ricoemier American Bank, N.A.",29-Apr-11,4-May-16
Heritage Banking Group,Carthage,Mississippi,14273,Trustmark National Bank,15-Apr-11,21-Mar-14
Rosemount National Bank,Rosemount,Minnesota,24099,Central Bank,15-Apr-11,7-Dec-15
Superior Bank,Birmingham,Alabama,17750,"Superior Bank, National Association",15-Apr-11,21-Mar-14
Nexity Bank,Birmingham,Alabama,19794,AloStar Bank of Commerce,15-Apr-11,21-Mar-14
New Horizons Bank,East Ellijay,Georgia,57705,Citizens South Bank,15-Apr-11,13-Nov-17
Bartow County Bank,Cartersville,Georgia,21495,Hamilton State Bank,15-Apr-11,21-Mar-14
Nevada Commerce Bank,Las Vegas,Nevada,35418,City National Bank,8-Apr-11,9-Sep-12
Western SPuerto Ricoings National Bank and Trust,Western SPuerto Ricoings,Illinois,10086,Heartland Bank and Trust Company,8-Apr-11,22-Jan-13
The Bank of Commerce,Wood Dale,Illinois,34292,Advantage National Bank Group,25-Mar-11,13-Apr-18
Legacy Bank,Milwaukee,Wisconsin,34818,Seaway Bank and Trust Company,11-Mar-11,12-Sep-12
First National Bank of Davis,Davis,Oklahoma,4077,The Pauls Valley National Bank,11-Mar-11,13-Apr-17
Valley Community Bank,St. Charles,Illinois,34187,First State Bank,25-Feb-11,5-Feb-15
